FID_,osm_id,lastchange,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel
,40987566, ,5122,residential,Bulevardul Calatis,,0,0,0,0,0
,40987571, ,5122,residential,Maior Giurescu,,0,0,0,0,0
,40987793, ,5122,residential,Strada Gării,,0,0,0,0,0
,40988377, ,5122,residential,Strada Dobrogeanu,,0,0,0,0,0
,40988595, ,5122,residential,Strada 2 Mai,,0,0,0,0,0
,41001116, ,5122,residential,Strada Albinelor,,0,0,0,0,0
,41001117, ,5122,residential,Strada Dimitrie Filipescu,,0,0,0,0,0
,41001118, ,5122,residential,Strada Șantierului,,1,0,0,0,0
,41015575, ,5122,residential,Zambilelor,,0,0,0,0,0
,41019791, ,5115,tertiary,Bulevardul Tineretului,,1,0,0,0,0
,41019794, ,5122,residential,Bulevardul Pandurilor,,1,0,0,0,0
,41019796, ,5122,residential,Bulevardul Pandurilor,,1,0,0,0,0
,41019812, ,5122,residential,Bulevardul Pandurilor,,0,0,0,0,0
,41019816, ,5122,residential,Strada Mihai Eminescu,,0,0,0,0,0
,41019836, ,5115,tertiary,Bulevardul Dem Rădulescu,,0,0,0,0,0
,41019843, ,5122,residential,Strada Nichita Stănescu,,0,0,0,0,0
,41019845, ,5122,residential,Strada Ion Luca Caragiale,,0,0,0,0,0
,41019849, ,5122,residential,Strada Ostroveni,,0,0,0,0,0
,41019922, ,5122,residential,Strada Lucian Blaga,,0,0,0,0,0
,41019938, ,5122,residential,Strada Marin Sorescu,,0,0,0,0,0
,41019939, ,5122,residential,Strada Marin Preda,,0,0,0,0,0
,41019961, ,5122,residential,Strada Nicolae Iorga,,0,0,0,0,0
,41019963, ,5122,residential,Strada Nicolae Iorga,,0,0,0,0,0
,41019966, ,5122,residential,Aleea Stejarului,,0,0,0,0,0
,41019972, ,5122,residential,Aleea Bradului,,0,0,0,0,0
,41019973, ,5122,residential,Aleea Teilor,,0,0,0,0,0
,41019988, ,5122,residential,Bulevardul Pandurilor,,0,0,0,0,0
,41019991, ,5122,residential,Strada Eleodor Constantinescu,,0,0,0,0,0
,41019992, ,5122,residential,Strada Eleodor Constantinescu,,0,0,0,0,0
,41019995, ,5122,residential,Strada Doctor Sabin,,0,0,0,0,0
,41019998, ,5122,residential,Strada Anton Pann,,0,0,0,0,0
,41019999, ,5122,residential,Strada Bogdan Amaru,,0,0,0,0,0
,41020000, ,5122,residential,Strada Ionescu Cheianu,,0,0,0,0,0
,41020003, ,5122,residential,Strada Eleodor Constantinescu,,0,0,0,0,0
,41020133, ,5122,residential,Strada Dacia,,0,0,0,0,0
,41020134, ,5122,residential,Strada Matache Temelie,,0,0,0,0,0
,41020135, ,5122,residential,Strada Doctor Suciu,,0,0,0,0,0
,41020139, ,5122,residential,Strada Paul Constantinescu,,0,0,0,0,0
,41020140, ,5122,residential,Strada Grigore Sineanu,,0,0,0,0,0
,41020148, ,5122,residential,Strada I.C. Brătianu,,0,0,0,0,0
,41020149, ,5122,residential,Aleea Zorelelor,,0,0,0,0,0
,41020150, ,5122,residential,Aleea Narciselor,,0,0,0,0,0
,41020152, ,5122,residential,Strada Ion Referendaru,,0,0,0,0,0
,41020220, ,5122,residential,G-ral Magheru,,1,0,0,0,0
,41020230, ,5122,residential,Strada Buna Vestire,,0,0,0,0,0
,41020231, ,5122,residential,Strada Grigore Procopiu,,0,50,0,0,0
,41020243, ,5122,residential,Strada Buna Vestire,,0,0,0,0,0
,41020245, ,5122,residential,Strada Decebal,,0,0,0,0,0
,41020246, ,5122,residential,Strada Henri Coandă,,1,0,0,0,0
,41020248, ,5122,residential,Strada Constantin Brâncuși,,0,0,0,0,0
,41020250, ,5122,residential,Strada Rapsodiei,,0,0,0,0,0
,41020283, ,5122,residential,Strada Topolog,,0,0,0,0,0
,41020333, ,5122,residential,Strada Banu Mărăcine,,0,0,0,0,0
,41020336, ,5122,residential,Strada Duilu Zamfirescu,,0,0,0,0,0
,41020340, ,5122,residential,Strada Preda Buzescu,,0,0,0,0,0
,41020341, ,5122,residential,Strada Neagoe Basarab,,0,0,0,0,0
,41020343, ,5122,residential,Strada Prezan,,0,0,0,0,0
