FID_	osm_id	lastchange	code	fclass	name	ref	oneway	maxspeed	layer	bridge	tunnel
	23736164	 	5122	residential	Strada Gureni		0	0	0	0	0
	23736173	 	5122	residential	Strada Fălticeni		0	0	0	0	0
	23736185	 	5122	residential	Strada Constantin Gheata		0	0	0	0	0
	23736190	 	5122	residential	Strada Izvorul Muntelui		0	0	0	0	0
	23736198	 	5122	residential	Strada Betonului		0	0	0	0	0
	23736214	 	5122	residential	Strada Serii		0	0	0	0	0
	23736226	 	5122	residential	Strada Existentei		0	0	0	0	0
	23736285	 	5122	residential	Strada Teodorescu Ion		0	0	0	0	0
	23736287	 	5122	residential	Strada Erou Mihai Cazacu		0	0	0	0	0
	23736291	 	5122	residential	Strada Canepei		0	0	0	0	0
	23736293	 	5122	residential	Strada Galeș		0	0	0	0	0
	23736295	 	5122	residential	Strada Ilgani		0	0	0	0	0
	23736307	 	5122	residential	Strada Ciuca Ștefan		0	0	0	0	0
	23736313	 	5122	residential	Strada Suhard		0	0	0	0	0
	23736328	 	5122	residential	Cumpenei		0	0	0	0	0
	23736336	 	5122	residential	Strada Andronache		0	0	0	0	0
	23736344	 	5122	residential	Medaliei		0	0	0	0	0
	23736347	 	5122	residential	Strada Fălticeni		0	0	0	0	0
	23736356	 	5122	residential	Strada Lecturii		0	0	0	0	0
	23736387	 	5122	residential	Strada Barometrului		0	0	0	0	0
	23736496	 	5122	residential	Strada Lacul Ianca		0	0	0	0	0
	23736500	 	5122	residential	Strada Cuiului		0	0	0	0	0
	23736503	 	5122	residential	Strada Turiștilor		0	0	0	0	0
	23736509	 	5122	residential	Strada Căpitan Gheorghe Rovența		0	0	0	0	0
	23736668	 	5122	residential	Strada Polixenia Rădulescu		0	0	0	0	0
	23736673	 	5122	residential	Strada Salciilor		0	0	0	0	0
	23736676	 	5122	residential	Strada Albatrosului		0	0	0	0	0
	23736677	 	5122	residential	Strada Cornișor		0	0	0	0	0
	23736678	 	5122	residential	Intrarea Mailuc		0	0	0	0	0
	23736690	 	5122	residential	Strada Hispania		0	0	0	0	0
	23736701	 	5122	residential	Strada Slovei		0	0	0	0	0
	23736707	 	5122	residential	Strada Declamarii		0	0	0	0	0
	23736709	 	5122	residential	Strada Zalău		0	0	0	0	0
	23736710	 	5122	residential	Strada Siragului		0	0	0	0	0
	23736714	 	5122	residential	Strada Suciava		0	0	0	0	0
	23736717	 	5122	residential	Strada Puieților		0	0	0	0	0
	23736721	 	5122	residential	Strada Joagarului		0	0	0	0	0
	23736728	 	5122	residential	Strada Giamandurii		0	0	0	0	0
	23736737	 	5122	residential	Strada Clopotiva		0	0	0	0	0
	23736740	 	5122	residential	Intrarea Suceava		0	0	0	0	0
	23736742	 	5122	residential	Strada Puieților		0	0	0	0	0
	23736796	 	5122	residential	Erou Simion Busuioc		0	0	0	0	0
	23736799	 	5122	residential	Banul Nicolae		0	0	0	0	0
	23736817	 	5122	residential	Munții Buzăului		0	0	0	0	0
	23736819	 	5122	residential	Lavitei		0	0	0	0	0
	23736833	 	5122	residential	Inaugurarii		0	0	0	0	0
	23736837	 	5122	residential	Puiandrului		0	0	0	0	0
	23736839	 	5122	residential	Sergent Vasile Predescu		0	0	0	0	0
	23736846	 	5122	residential	Moroeni		0	0	0	0	0
	23736849	 	5122	residential	Sever Popescu		0	0	0	0	0
	23736856	 	5122	residential	Nistor Raileanu		0	0	0	0	0
	23736858	 	5122	residential	Nicolae Apostol		0	0	0	0	0
	23736865	 	5122	residential	Căpitan Valer Dumitrescu		0	0	0	0	0
	23736878	 	5122	residential	Dascalului		0	0	0	0	0
	23736951	 	5122	residential	Arbore Zamfir		0	0	0	0	0
	23736965	 	5122	residential	Melodiei		0	0	0	0	0
	23736968	 	5122	residential	Căpitan Juverdeanu		0	0	0	0	0
	23736970	 	5122	residential	Plugusor		0	0	0	0	0
	23736971	 	5122	residential	Lanternei		0	0	0	0	0
	23736977	 	5122	residential	Arbustului		0	0	0	0	0
	23736978	 	5122	residential	Dănulești		0	0	0	0	0
	23736979	 	5122	residential	Nemira		0	0	0	0	0
	23736980	 	5122	residential	Tulpinei		0	0	0	0	0
	23737002	 	5115	tertiary	Nicolae Canea		0	0	0	0	0
	23737011	 	5122	residential	Spinului		0	0	0	0	0
	23737012	 	5122	residential	Cotmeana		0	0	0	0	0
	23737016	 	5122	residential	Invalid Suliga		0	0	0	0	0
	23737017	 	5122	residential	Invalid Suliga		0	0	0	0	0
	23737019	 	5122	residential	Tarcaus		0	0	0	0	0
	23737021	 	5122	residential	Caliman		0	0	0	0	0
	23737023	 	5122	residential	Enache Sandu		0	0	0	0	0
	23737029	 	5122	residential	Enache Sandu		0	0	0	0	0
	23737033	 	5122	residential	Lanului		0	0	0	0	0
	23737035	 	5122	residential	Soldat Niță Ene		0	0	0	0	0
	23737043	 	5122	residential	Bâsca Mare		0	0	0	0	0
	23737045	 	5122	residential	Bâsca Mică		0	0	0	0	0
	23737053	 	5122	residential	Păsăreni		0	0	0	0	0
	23737062	 	5122	residential	Codalbitei		0	0	0	0	0
	23737067	 	5122	residential	Păsăreni		0	0	0	0	0
	23737068	 	5122	residential	Căpitan Constantin Merișescu		0	0	0	0	0
	23737071	 	5122	residential	Refrenului		0	0	0	0	0
	23737076	 	5122	residential	Campului		0	0	0	0	0
	23737105	 	5122	residential	Scaietilor		0	0	0	0	0
	23737110	 	5122	residential	Emisferei		0	0	0	0	0
	23737114	 	5122	residential	Dropiei		0	0	0	0	0
	23737115	 	5122	residential	Poeziei		0	0	0	0	0
	23737118	 	5122	residential	Hortensiei		0	0	0	0	0
	23737126	 	5115	tertiary	Strada Sportului		0	0	0	0	0
	23737133	 	5122	residential	Angrenajului		0	0	0	0	0
	23737135	 	5122	residential	Cuisoarei		0	0	0	0	0
	23737155	 	5122	residential	Vașcău		1	0	0	0	0
	23737157	 	5122	residential	Zmeurei		0	0	0	0	0
	23737158	 	5122	residential	Măcrișului		0	0	0	0	0
	23737164	 	5122	residential	Recreatiei		0	0	0	0	0
	23737187	 	5122	residential	Tarnacopului		0	0	0	0	0
	23737193	 	5122	residential	Cimentului		0	0	0	0	0
	23737207	 	5122	residential	Strada Simetriei		0	0	0	0	0
	23737222	 	5122	residential	Strada Catrinţei		0	0	0	0	0
	23737224	 	5122	residential	Strada Velinţei		0	0	0	0	0
	23737231	 	5122	residential	Strada Lacul Amara		0	0	0	0	0
	23737233	 	5122	residential	Strada Câmpul cu Narcise		0	30	0	0	0
	23737237	 	5122	residential	Strada Balotului		0	0	0	0	0
	23737240	 	5122	residential	Intrarea Clopotului		0	0	0	0	0
	23737250	 	5122	residential	Strada Laicerului		0	0	0	0	0
	23737256	 	5122	residential	Strada Tănase Dumitrescu		0	0	0	0	0
	23737258	 	5122	residential	Strada Tănase Dumitrescu		0	0	0	0	0
	23737261	 	5121	unclassified	Strada Ferăstrău		0	0	0	0	0
	23737267	 	5121	unclassified	Intrarea Frumuşiţa		0	0	0	0	0
	23737281	 	5122	residential	Strada Sulfului		0	0	0	0	0
	23737289	 	5122	residential	Strada Suveica		0	0	0	0	0
	23738236	 	5122	residential	Strada Fabrica de Gheață		0	0	0	0	0
	23738318	 	5122	residential	Strada Luminița		0	0	0	0	0
	23738327	 	5122	residential	Atletilor		0	0	0	0	0
	23738339	 	5122	residential	Ițcani		0	0	0	0	0
	23738352	 	5122	residential	Saltului		0	0	0	0	0
	23738356	 	5122	residential	Strada Palanca		0	0	0	0	0
	23738362	 	5122	residential	Brezei		0	0	0	0	0
	23738366	 	5122	residential	Căpreni		0	0	0	0	0
	23738376	 	5122	residential	Bârzava		0	0	0	0	0
	23738381	 	5122	residential	Minerilor		0	0	0	0	0
	23738384	 	5122	residential	Minerilor		0	0	0	0	0
	23738396	 	5122	residential	Fagarasanu		0	0	0	0	0
	23738402	 	5122	residential	Ortacului		0	0	0	0	0
	23738405	 	5122	residential	Valea Jiului		0	0	0	0	0
	23738449	 	5122	residential	Valea Măgurei		0	0	0	0	0
	23738493	 	5122	residential	Pescarilor		0	0	0	0	0
	23738494	 	5122	residential	Plugaru Ion		0	0	0	0	0
	23738495	 	5122	residential	Strada Revoluția 1848		0	0	0	0	0
	23738520	 	5122	residential	Aleea Capidava		0	0	0	0	0
	23738523	 	5122	residential	Aleea Arbium		0	0	0	0	0
	23738527	 	5122	residential	Aleea Sucidava		0	0	0	0	0
	23738535	 	5122	residential	Aleea Argedava		0	0	0	0	0
	23738537	 	5122	residential	Intrarea Turnului		0	0	0	0	0
	23738538	 	5122	residential	Aleea Cumidava		0	0	0	0	0
	23738539	 	5122	residential	Aleea Buridava		0	0	0	0	0
	23738546	 	5122	residential	Aleea Romula		0	0	0	0	0
	23738557	 	5122	residential	Aleea Dinogetia		0	0	0	0	0
	23738563	 	5122	residential	Aleea Tibiscum		0	0	0	0	0
	23738571	 	5122	residential	Aleea Sargetia		0	0	0	0	0
	23738575	 	5122	residential	Aleea Porolisum		0	0	0	0	0
	23739396	 	5122	residential	Strada Ioan Sahigian		0	0	0	0	0
	23739454	 	5122	residential	Strada Nicolae Roșu		0	0	0	0	0
	23739465	 	5122	residential	Răcătău		0	0	0	0	0
	23739470	 	5122	residential	Cicoarei		0	0	0	0	0
	23739471	 	5122	residential	Irisului		0	0	0	0	0
	23739520	 	5122	residential	Hasmasului		0	0	0	0	0
	23739531	 	5122	residential	Strada Magnetului		0	0	0	0	0
	23739609	 	5122	residential	Cazangiilor		0	0	0	0	0
	23739654	 	5122	residential	Păunești		0	0	0	0	0
	23739675	 	5122	residential	Chiloara		0	0	0	0	0
	23739681	 	5122	residential	Darabani		0	0	0	0	0
	23739689	 	5122	residential	Strada Economiei		0	0	0	0	0
	23739758	 	5122	residential	Chezasiei		0	0	0	0	0
	23739763	 	5122	residential	Moș Ion Roată		0	0	0	0	0
	23739769	 	5122	residential	Idealului		0	0	0	0	0
	23739774	 	5122	residential	Valea Mialelor		0	0	0	0	0
	23739780	 	5122	residential	19 Noiembrie		0	0	0	0	0
	23739821	 	5122	residential	Pupitrului		0	0	0	0	0
	23739825	 	5122	residential	Gologanului		0	0	0	0	0
	23739826	 	5122	residential	Șoimari		0	0	0	0	0
	23739838	 	5122	residential	Mureșeni		0	0	0	0	0
	23739846	 	5122	residential	Gh. Doja		0	0	0	0	0
	23739851	 	5122	residential	Eretelui		0	0	0	0	0
	23739859	 	5122	residential	Strada Industriilor		0	0	0	0	0
	23739922	 	5122	residential	Tarnița		0	0	0	0	0
	23739926	 	5122	residential	Cugir		0	0	0	0	0
	23739930	 	5122	residential	Lupșanu		0	0	0	0	0
	23739934	 	5122	residential	Răzvani		0	0	0	0	0
	23739944	 	5122	residential	Sebeș		0	0	0	0	0
	23739950	 	5122	residential	Cromului		0	0	0	0	0
	23739957	 	5122	residential	Lăzăreni		0	0	0	0	0
	23739970	 	5122	residential	Lucieni		0	0	0	0	0
	23739976	 	5122	residential	Chimiei		0	0	0	0	0
	23739985	 	5122	residential	Mielului		0	0	0	0	0
	23739986	 	5122	residential	Deltei		0	0	0	0	0
	23739992	 	5122	residential	Pietroselului		0	0	0	0	0
	23739995	 	5122	residential	Strada Măgura Mare		0	0	0	0	0
	23740011	 	5122	residential	Strada Tufănica		0	0	0	0	0
	23740033	 	5122	residential	Drumul Satenilor		0	0	0	0	0
	23740040	 	5122	residential	Rusănești		0	0	0	0	0
	23740064	 	5122	residential	Dimitrie Rallet		0	0	0	0	0
	23740105	 	5122	residential	Sergent I. Ciubaru		0	0	0	0	0
	23740107	 	5122	residential	Munții Mehedinți		0	0	0	0	0
	23740113	 	5122	residential	Culesului		0	0	0	0	0
	23740114	 	5122	residential	Dadu		0	0	0	0	0
	23740120	 	5122	residential	Industriilor		0	0	0	0	0
	23740127	 	5122	residential	Floare Albastra		0	0	0	0	0
	23740130	 	5122	residential	Cunești		0	0	0	0	0
	23740145	 	5122	residential	Barcarolei		0	0	0	0	0
	23740157	 	5122	residential	Prispei		0	0	0	0	0
	23740158	 	5122	residential	Elbrus		0	0	0	0	0
	23740172	 	5122	residential	Crestei		0	0	0	0	0
	23740181	 	5122	residential	Viseul de Sus		0	0	0	0	0
	23740185	 	5122	residential	Viseul de Sus		0	0	0	0	0
	23740191	 	5122	residential	Călan		0	0	0	0	0
	23740196	 	5122	residential	Lacul Lara		0	0	0	0	0
	23740198	 	5122	residential	Lacul Lara		0	0	0	0	0
	23740227	 	5122	residential	Horezu		0	0	0	0	0
	23740238	 	5122	residential	Peleș		0	0	0	0	0
	23740296	 	5122	residential	Vâlsănești		0	0	0	0	0
	23740311	 	5122	residential	Anghel Ghetu		0	0	0	0	0
	23740323	 	5122	residential	Zimnicea		0	0	0	0	0
	23740337	 	5122	residential	Bumbăcari		0	0	0	0	0
	23740353	 	5122	residential	Grindelului		0	0	0	0	0
	23740366	 	5122	residential	Soldat Constantin Dragan		0	0	0	0	0
	23740413	 	5122	residential	Rodnei		0	0	0	0	0
	23740417	 	5122	residential	Depozitului		0	0	0	0	0
	23740433	 	5122	residential	Depozitului		0	0	0	0	0
	23740442	 	5122	residential	Trandafirul Roșu		0	0	0	0	0
	23740449	 	5122	residential	Lacul Greaca		0	0	0	0	0
	23740462	 	5122	residential	Confederatiei		0	0	0	0	0
	23740507	 	5122	residential	Zarzarilor		0	0	0	0	0
	23740527	 	5122	residential	Soldat Cristian Minciu		0	0	0	0	0
	23740538	 	5122	residential	Prigoriilor		0	0	0	0	0
	23740566	 	5122	residential	Lacul Greaca		0	0	0	0	0
	23740593	 	5122	residential	Trandafirul Roșu		0	0	0	0	0
	23740626	 	5122	residential	Soldat Sita Vasile R.		0	0	0	0	0
	23740672	 	5153	footway	Iancu Grigore		0	0	0	0	0
	23740691	 	5122	residential	Oriav		0	0	0	0	0
	23740702	 	5122	residential	Soldat Marin Nicolae		0	0	0	0	0
	23740714	 	5122	residential	Frasinului		0	0	0	0	0
	23740724	 	5122	residential	Sintești		0	0	0	0	0
	23740731	 	5122	residential	Soldat Dumitru Petre		0	0	0	0	0
	23740742	 	5122	residential	Mălureni		0	0	0	0	0
	23740751	 	5122	residential	Mălureni		0	0	0	0	0
	23740755	 	5122	residential	Negostima		0	0	0	0	0
	23740761	 	5122	residential	Negostina		0	0	0	0	0
	23740791	 	5122	residential	Groata Lacurilor		0	0	0	0	0
